tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
"Love, Death & Robots",1,1,Sonnie's Edge,"Mar 15, 2019",8.3,18981,"In the underground world of ""beastie"" fights, Sonnie is unbeatable -- as long as she keeps her edge.",tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,2,Three Robots,"Mar 15, 2019",8.0,17681,"Long after the fall of humanity, three robots embark on a sightseeing tour of a post-apocalyptic city.",tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,3,The Witness,"Mar 15, 2019",7.8,16848,"After seeing a brutal murder, a woman flees from the killer through the streets of a surreal city.",tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,4,Suits,"Mar 15, 2019",7.5,14575,A community of farmers use their homemade mechs to defend their families from an alien invasion.,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,5,Sucker of Souls,"Mar 15, 2019",6.5,13572,"Unleashed by an archaeological dig, a bloodthirsty demon battles a team of mercenaries armed with... cats?",tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,6,When the Yogurt Took Over,"Mar 15, 2019",6.8,14582,"After scientists accidentally breed super-intelligent yogurt, it soon hungers for world domination.",tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,7,Beyond the Aquila Rift,"Mar 15, 2019",8.6,18220,"Awakening after traveling light years off course, a ship's crew struggles to discover just how far they've come.",tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,8,Good Hunting,"Mar 15, 2019",8.1,14656,The son of a spirit hunter forges a bond with a shape-shifting huli jing.,tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,9,The Dump,"Mar 15, 2019",6.3,12511,"Ugly Dave calls the garbage dump home, and he's not about to let some city slicker take it away from him.",tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
"Love, Death & Robots",1,10,Shape-Shifters,"Mar 15, 2019",7.5,13322,"Deep in Afghanistan, two Marines with supernatural powers face a threat from one of their own kind.",tt9561862,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
