tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,encoded_title,show_desc
Adventure Time,1,1,Slumber Party Panic,"Apr 5, 2010",7.5,2300,Princess Bumblegum's latest experiment accidentally unleashes an undead horde upon the Candy Kingdom.,tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,2,Trouble in Lumpy Space,"Apr 5, 2010",7.4,2100,"Jake is bitten by Lumpy Space Princess and begins to transform into a Lumpy being. In order to find a cure, Finn is travels to Lumpy Space.",tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,3,Prisoners of Love,"Apr 12, 2010",7.3,1900,"After the Ice King kidnaps a large group of princesses, its up to Finn and Jake to free them.",tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,4,Tree Trunks,"Apr 12, 2010",7.5,1900,"Tree Trunks joins Finn and Jake on an quest, but finds her talents for adventuring leave something to be desired.",tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,5,The Enchiridion!,"Apr 19, 2010",7.9,1900,"Princess Bubblegum sends Finn on his most challenging quest yet--to recover The Enchiridion, the hero's handbook.",tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,6,The Jiggler,"Apr 19, 2010",7.2,1800,"After finding a Jiggler in the wild, Finn and Jake decide to adopt the funny creature as a pet.",tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,7,Ricardio the Heart Guy,"Apr 26, 2010",7.4,1700,"A new stranger arrives in the Candy Kingdom: a charismatic talking heart named Ricardio. He soon becomes very popular, except to Finn who believes he's hiding something.",tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,8,Business Time,"Apr 26, 2010",7.6,1700,Finn and Jake discover a tribe of businessmen frozen in a block of ice and hire them to make adventuring easier.,tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,9,Memories of Boom Boom Mountain,"May 3, 2010",7.8,1700,"While having trouble solving the contradictory problems of the residents of a mountain village, Finn recalls where he found the desire to help people.",tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,10,My Two Favorite People,"May 3, 2010",7.7,1700,"Jake tries hanging out with both his best friend, Finn, and his girlfriend, Lady Rainicorn, at the same time. But soon Jake becomes jealous when Finn and Lady seem too friendly.",tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,11,Wizard,"May 10, 2010",8.1,1700,Finn and Jake discover a secret tribe of wizards and take magic lessons for a price they aren't prepared to pay.,tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,12,Evicted!,"May 17, 2010",8.3,1700,After Marceline the Vampire Queen visits Finn and Jake at their tree fort she informs them that she is moving in and kicking them out.,tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,13,City of Thieves,"May 24, 2010",7.9,1700,A mission leads Jake into a city where everyone is a thief and the chance to be corrupted is incredibly strong.,tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,14,The Witch's Garden,"Jun 7, 2010",7.5,1600,"A witch steals Jake's shape-shifting powers, but his ego makes getting them back very difficult.",tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,15,What Is Life?,"Jun 14, 2010",7.7,1600,Finn creates a robot to continuously throw pies at Jake but unexpectedly imbues it with a soul.,tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
Adventure Time,1,16,Ocean of Fear,"Jun 21, 2010",7.9,1600,Finn must overcome his fear of the ocean.,tt1305826,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future."
