tv,season,episode_number,title,airdate,rating,total_votes,desc,encoded_title
This Is Us,1,1,Pilot,"Sep 20, 2016",9.3,5980,Rebecca goes into an early labor; Randall finds his biological father; Kevin faces a personal and professional crisis; Kate finds herself at a low point.,tt5555260
This Is Us,1,2,The Big Three,"Sep 27, 2016",8.6,3425,Jack and Rebecca struggle with raising a family; Beth grows suspicious of William; Kate stresses over her weight loss; Kevin faces fallout from his meltdown.,tt5555260
This Is Us,1,3,Kyle,"Oct 11, 2016",8.7,3200,"Rebecca pays a surprise visit, Kevin makes plans to move, and Toby prepares a special day for Kate.",tt5555260
This Is Us,1,4,The Pool,"Oct 18, 2016",8.9,3189,Jack and Rebecca take their kids to the community pool; Kevin experiences his first NYC audition; Kate stalks Toby's ex; William's past sends Randall spinning.,tt5555260
This Is Us,1,5,The Game Plan,"Oct 25, 2016",8.8,3071,"Jack and Rebecca disagree about the future, Toby makes a gesture to Kate which backfires, Beth surprises Randall, while Kevin and William have a heart-to-heart.",tt5555260
This Is Us,1,6,Career Days,"Nov 1, 2016",8.6,2587,"Jack and Rebecca face a dilemma, Randall puts his foot down, Kate lands a new job, and Kevin finds himself in an unusual situation.",tt5555260
This Is Us,1,7,The Best Washing Machine in the Whole World,"Nov 15, 2016",8.6,2489,"Old tensions between Kevin and Randall resurface, Beth discovers a secret, while Toby makes a change which knocks Kate off course.",tt5555260
This Is Us,1,8,Pilgrim Rick,"Nov 22, 2016",9.2,3083,"As Jack and Rebecca face a disastrous Thanksgiving, the family gather at Randall's house for the occasion.",tt5555260
This Is Us,1,9,The Trip,"Nov 29, 2016",8.8,2686,"As Jack and Rebecca deal with Randall's questions about his parents, the siblings head to the family cabin for a post-Thanksgiving trip.",tt5555260
This Is Us,1,10,Last Christmas,"Dec 6, 2016",9.1,2891,"At Christmas, Jack and Rebecca are unexpectedly reunited with an old friend, while Kevin, Randall and Kate face different holiday dramas.",tt5555260
This Is Us,1,11,The Right Thing to Do,"Jan 10, 2017",8.5,2256,"Jack and Rebecca receive surprising news, Kate tries to help Toby, Randall feels conflicted about William and Jessie, while Kevin must make a choice.",tt5555260
This Is Us,1,12,The Big Day,"Jan 17, 2017",9.0,2841,"As Rebecca's pregnancy drags on, she forgets Jack's birthday, Nathan copes with his grief, and Randall inadvertently intervenes in a difficult marriage.",tt5555260
This Is Us,1,13,Three Sentences,"Jan 24, 2017",8.8,2566,Jack and Rebecca throw three separate birthday parties; Toby helps Kevin with a romantic gesture; Kate gets a new plan; Randall helps William with his bucket list.,tt5555260
This Is Us,1,14,I Call Marriage,"Feb 7, 2017",8.4,2151,"Jack and Rebecca receive shocking news, Randall feels pressure both at work and at home, Kate's plans are thrown off kilter, and Kevin tries to win over Sophie.",tt5555260
This Is Us,1,15,Jack Pearson's Son,"Feb 14, 2017",9.0,2743,Jack and Rebecca's Valentine's Day goes south; Toby and Kate dig deep; Kevin preps for opening night; A tightly wound Randall begins to unravel.,tt5555260
This Is Us,1,16,Memphis,"Feb 21, 2017",9.5,4532,"Randall and William take a road trip to Memphis, where Randall learns about William's past.",tt5555260
This Is Us,1,17,What Now?,"Mar 7, 2017",9.1,2549,"Jack and Rebecca argue before the beginning of her tour, Kevin faces another opening night, while the entire family gathers at Randall's for an unusual party.",tt5555260
This Is Us,1,18,Moonshadow,"Mar 14, 2017",8.7,2344,"Jack attempts to meet Rebecca and make things right; Kate, Kevin and Randall make important decisions about their respective futures.",tt5555260
This Is Us,2,1,A Father's Advice,"Sep 26, 2017",8.9,2478,"The Big Three celebrate their 37th birthdays, and make changes in their lives; Jack and Rebecca pick up the pieces after their fight.",tt5555260
This Is Us,2,2,A Manny-Splendored Thing,"Oct 3, 2017",8.5,2046,"The Pearson family visits Kevin on set in Los Angeles for a ""Manny"" taping; Jack confronts his demons.",tt5555260
This Is Us,2,3,Déjà Vu,"Oct 10, 2017",8.5,1995,Rebecca and Jack struggle to reconnect; Kate visits Kevin on set of his movie; Randall and Beth get exciting news.,tt5555260
